START_POSITION,FG_PCT,REB,AST,STL,BLK,PTS
4.0,0.4,2.0,2.0,2.0,0.0,19.0
4.0,0.75,3.0,0.0,0.0,0.0,9.0
4.0,0.2,3.0,1.0,0.0,0.0,2.0
4.0,0.0,1.0,0.0,0.0,0.0,1.0
4.0,0.667,2.0,1.0,0.0,0.0,6.0
1.0,0.368,9.0,5.0,0.0,0.0,17.0
1.0,0.364,5.0,3.0,1.0,0.0,13.0
2.0,0.833,11.0,0.0,0.0,1.0,13.0
3.0,0.333,1.0,1.0,1.0,0.0,5.0
3.0,0.286,1.0,2.0,1.0,0.0,5.0
4.0,0.444,2.0,1.0,1.0,2.0,10.0
4.0,0.0,2.0,0.0,0.0,3.0,0.0
4.0,0.313,5.0,4.0,1.0,0.0,15.0
4.0,0.4,4.0,7.0,0.0,0.0,6.0
4.0,0.667,5.0,2.0,0.0,1.0,14.0
1.0,0.5,12.0,3.0,2.0,1.0,25.0
1.0,0.4,6.0,1.0,1.0,0.0,10.0
2.0,0.6,9.0,4.0,0.0,2.0,18.0
3.0,0.333,1.0,0.0,1.0,0.0,5.0
3.0,0.438,4.0,15.0,1.0,0.0,19.0
4.0,0.143,3.0,0.0,0.0,0.0,3.0
4.0,0.6,3.0,0.0,0.0,0.0,8.0
4.0,0.4,2.0,1.0,1.0,0.0,11.0
4.0,0.5,2.0,0.0,1.0,1.0,3.0
4.0,0.0,2.0,0.0,1.0,0.0,0.0
4.0,0.0,4.0,0.0,0.0,0.0,0.0
1.0,0.333,5.0,6.0,0.0,1.0,16.0
1.0,0.783,9.0,3.0,1.0,1.0,47.0
2.0,0.571,5.0,2.0,1.0,1.0,17.0
3.0,0.333,8.0,1.0,0.0,0.0,5.0
3.0,0.231,6.0,8.0,4.0,0.0,8.0
4.0,0.0,4.0,0.0,0.0,0.0,0.0
4.0,0.5,4.0,0.0,1.0,1.0,16.0
4.0,0.0,9.0,2.0,0.0,0.0,0.0
4.0,0.0,2.0,0.0,2.0,0.0,0.0
