GAME_ID,TEAM_ID,PLAYER_ID,PLAYER_NAME,START_POSITION,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
22100214,1610612754,1627734,Domantas Sabonis,F,34:59,4.0,7.0,0.571,0.0,1.0,0.0,7.0,10.0,0.7,3.0,8.0,11.0,1.0,0.0,1.0,5.0,0.0,15.0,2.0
22100214,1610612754,1626167,Myles Turner,C,30:51,2.0,8.0,0.25,1.0,5.0,0.2,1.0,2.0,0.5,1.0,3.0,4.0,0.0,1.0,1.0,4.0,2.0,6.0,0.0
22100214,1610612754,1627747,Caris LeVert,G,30:31,7.0,18.0,0.389,3.0,10.0,0.3,1.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0,0.0,1.0,2.0,18.0,-8.0
22100214,1610612754,1627763,Malcolm Brogdon,G,35:07,8.0,17.0,0.471,3.0,9.0,0.333,1.0,2.0,0.5,0.0,5.0,5.0,4.0,0.0,0.0,5.0,3.0,20.0,11.0
22100214,1610612754,204456,T.J. McConnell,,26:34,2.0,6.0,0.333,0.0,0.0,0.0,2.0,2.0,1.0,0.0,4.0,4.0,4.0,2.0,1.0,0.0,2.0,6.0,-11.0
22100214,1610612754,1628470,Torrey Craig,,19:05,5.0,7.0,0.714,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,10.0,-4.0
22100214,1610612754,203200,Justin Holiday,,21:27,3.0,7.0,0.429,1.0,5.0,0.2,0.0,0.0,0.0,1.0,4.0,5.0,1.0,0.0,0.0,2.0,3.0,7.0,-16.0
22100214,1610612754,1629048,Goga Bitadze,,4:27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,-4.0
22100214,1610612754,203087,Jeremy Lamb,,9:30,1.0,2.0,0.5,1.0,2.0,0.5,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,-1.0
22100214,1610612765,1630180,Saddiq Bey,F,33:21,5.0,14.0,0.357,3.0,4.0,0.75,2.0,4.0,0.5,2.0,4.0,6.0,0.0,2.0,0.0,3.0,2.0,15.0,-1.0
22100214,1610612765,203924,Jerami Grant,F,34:01,5.0,14.0,0.357,0.0,5.0,0.0,9.0,12.0,0.75,1.0,2.0,3.0,0.0,2.0,0.0,2.0,1.0,19.0,2.0
22100214,1610612765,1630191,Isaiah Stewart,C,31:40,2.0,5.0,0.4,0.0,0.0,0.0,3.0,3.0,1.0,3.0,8.0,11.0,2.0,0.0,2.0,1.0,5.0,7.0,2.0
22100214,1610612765,1630165,Killian Hayes,G,19:45,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,3.0,1.0,3.0,4.0,4.0,-2.0
22100214,1610612765,1630595,Cade Cunningham,G,33:32,6.0,18.0,0.333,1.0,8.0,0.125,3.0,4.0,0.75,0.0,8.0,8.0,6.0,2.0,1.0,1.0,2.0,16.0,3.0
22100214,1610612765,1628402,Frank Jackson,,26:09,4.0,7.0,0.571,3.0,5.0,0.6,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,11.0,11.0
22100214,1610612765,202709,Cory Joseph,,30:45,7.0,11.0,0.636,1.0,3.0,0.333,3.0,4.0,0.75,0.0,5.0,5.0,2.0,1.0,0.0,1.0,2.0,18.0,14.0
22100214,1610612765,1626168,Trey Lyles,,16:19,2.0,8.0,0.25,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,5.0,6.0
22100214,1610612765,1628977,Hamidou Diallo,,14:28,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,5.0
22100215,1610612738,1628369,Jayson Tatum,F,37:46,12.0,22.0,0.545,5.0,12.0,0.417,5.0,6.0,0.833,3.0,6.0,9.0,5.0,0.0,1.0,4.0,2.0,34.0,-7.0
22100215,1610612738,1629684,Grant Williams,F,30:11,6.0,12.0,0.5,3.0,8.0,0.375,3.0,3.0,1.0,2.0,4.0,6.0,0.0,0.0,0.0,0.0,4.0,18.0,-13.0
22100215,1610612738,201143,Al Horford,C,32:55,5.0,9.0,0.556,1.0,4.0,0.25,2.0,4.0,0.5,2.0,5.0,7.0,2.0,2.0,1.0,2.0,1.0,13.0,-10.0
22100215,1610612738,203935,Marcus Smart,G,35:25,3.0,10.0,0.3,0.0,4.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,11.0,2.0,0.0,2.0,1.0,8.0,-4.0
22100215,1610612738,203471,Dennis Schroder,G,31:55,6.0,12.0,0.5,1.0,4.0,0.25,2.0,2.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,3.0,4.0,15.0,-10.0
22100215,1610612738,1626196,Josh Richardson,,27:01,5.0,10.0,0.5,1.0,4.0,0.25,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,11.0,-4.0
22100215,1610612738,1629641,Romeo Langford,,13:57,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,-5.0
22100215,1610612738,202683,Enes Kanter,,13:33,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,-1.0
22100215,1610612738,1630174,Aaron Nesmith,,11:09,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0
22100215,1610612738,1630202,Payton Pritchard,,1:32,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
22100215,1610612738,1628981,Bruno Fernando,,1:32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22100215,1610612738,1630271,Brodric Thomas,,1:32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22100215,1610612738,1627823,Juancho Hernangomez,,1:32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
